epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,9.861630439758300781e+00,3.140323301788893851e+00,1.911986803793907086e+01,4.372627132278610773e+00,3.946074958562850732e+00
2.000000000000000000e+00,9.845004081726074219e+00,3.137674948385519968e+00,1.910851793742179794e+01,4.371329081346060796e+00,3.945315618515014666e+00
3.000000000000000000e+00,9.829663276672363281e+00,3.135229381827167483e+00,1.909812907266616833e+01,4.370140623900582000e+00,3.944615669846534889e+00
4.000000000000000000e+00,9.815467834472656250e+00,3.132964703674884444e+00,1.908843720149993928e+01,4.369031609121171833e+00,3.944028604865074339e+00
5.000000000000000000e+00,9.801383972167968750e+00,3.130716207542288299e+00,1.907935188317298980e+01,4.367991744860902692e+00,3.943505147218704376e+00
6.000000000000000000e+00,9.786771774291992188e+00,3.128381654193105543e+00,1.907052921485900754e+01,4.366981705349703979e+00,3.942988740205764842e+00
7.000000000000000000e+00,9.771669387817382812e+00,3.125966952451254333e+00,1.905974164342880073e+01,4.365746401639563956e+00,3.942225438833236506e+00
8.000000000000000000e+00,9.755908012390136719e+00,3.123444895046195047e+00,1.904637552356719965e+01,4.364215338817185597e+00,3.941135714054107453e+00
9.000000000000000000e+00,9.739378929138183594e+00,3.120797803308984708e+00,1.903268783640861628e+01,4.362646884221621058e+00,3.939968275427818245e+00
1.000000000000000000e+01,9.722418785095214844e+00,3.118079342334831416e+00,1.901515273880958645e+01,4.360636735479072712e+00,3.938320453047752245e+00
1.100000000000000000e+01,9.704423904418945312e+00,3.115192434572693347e+00,1.899349885606765653e+01,4.358153147385674053e+00,3.936166657686233528e+00
1.200000000000000000e+01,9.684959411621093750e+00,3.112066742796673058e+00,1.896718273234367302e+01,4.355132917873308251e+00,3.933442054867744453e+00
1.300000000000000000e+01,9.663733482360839844e+00,3.108654609692244275e+00,1.893591642260551566e+01,4.351541844289850580e+00,3.930053875803947605e+00
1.400000000000000000e+01,9.640305519104003906e+00,3.104884139401018484e+00,1.889953187918662891e+01,4.347359184514965946e+00,3.925943863272666867e+00
1.500000000000000000e+01,9.614438056945800781e+00,3.100715733011622177e+00,1.885766480493545671e+01,4.342541284194711970e+00,3.921095761179924200e+00
1.600000000000000000e+01,9.585864067077636719e+00,3.096104660226723926e+00,1.881025680446624904e+01,4.337079294233188165e+00,3.915522748470306347e+00
1.700000000000000000e+01,9.554466247558593750e+00,3.091029965490240006e+00,1.875790045046806398e+01,4.331039188285886077e+00,3.909247704744339025e+00
1.800000000000000000e+01,9.520167350769042969e+00,3.085476843337029873e+00,1.870015735793113620e+01,4.324367856453835479e+00,3.902258288621902604e+00
1.900000000000000000e+01,9.482784271240234375e+00,3.079412975104221850e+00,1.863697736287117124e+01,4.317056562389606889e+00,3.894538456559181405e+00
2.000000000000000000e+01,9.441997528076171875e+00,3.072783351958964904e+00,1.856774881052970727e+01,4.309031075605014749e+00,3.886016353487968367e+00
2.100000000000000000e+01,9.397550582885742188e+00,3.065542461439042299e+00,1.849186512398719628e+01,4.300216869413355347e+00,3.876630458593368633e+00
2.200000000000000000e+01,9.349250793457031250e+00,3.057654459460230179e+00,1.840929313135147183e+01,4.290605217373356872e+00,3.866357397675514118e+00
2.300000000000000000e+01,9.296735763549804688e+00,3.049054896775360568e+00,1.831983381986617943e+01,4.280167499043253443e+00,3.855183884263038596e+00
2.400000000000000000e+01,9.239811897277832031e+00,3.039705889930444105e+00,1.822244646859169137e+01,4.268775757590423048e+00,3.842984239101409738e+00
2.500000000000000000e+01,9.178295135498046875e+00,3.029570123878641663e+00,1.811676661181449788e+01,4.256379519241029641e+00,3.829722892642021037e+00
2.600000000000000000e+01,9.111980438232421875e+00,3.018605710958690569e+00,1.800204302620887731e+01,4.242881453235392897e+00,3.815330797553062592e+00
2.700000000000000000e+01,9.040543556213378906e+00,3.006749666369546325e+00,1.787776354694366532e+01,4.228210442603781871e+00,3.799711748123169031e+00
2.800000000000000000e+01,8.963908195495605469e+00,2.993978656486315781e+00,1.774424455356598074e+01,4.212391785383450937e+00,3.782850130319595383e+00
2.900000000000000000e+01,8.882017135620117188e+00,2.980271319128531271e+00,1.760141491341590836e+01,4.195404022667650779e+00,3.764708965659141704e+00
3.000000000000000000e+01,8.794908523559570312e+00,2.965621102494310435e+00,1.744822672009468079e+01,4.177107458528531048e+00,3.745139868974685537e+00
3.100000000000000000e+01,8.702466011047363281e+00,2.949994239154944964e+00,1.728354239821434035e+01,4.157348000614615735e+00,3.723991307139396856e+00
3.200000000000000000e+01,8.604772567749023438e+00,2.933389262908866701e+00,1.710652692341804482e+01,4.136003738322542311e+00,3.701133892178535501e+00
3.300000000000000000e+01,8.501822471618652344e+00,2.915788481975098989e+00,1.691648295140266356e+01,4.112965226135842478e+00,3.676453864574432462e+00
3.400000000000000000e+01,8.393945693969726562e+00,2.897230693950643587e+00,1.671252287745475940e+01,4.088095262766604954e+00,3.649799460887908964e+00
3.500000000000000000e+01,8.281415939331054688e+00,2.877744939936660806e+00,1.649310261726379423e+01,4.061170104448199147e+00,3.620964859008789283e+00
3.600000000000000000e+01,8.164667129516601562e+00,2.857388165705982974e+00,1.625732564043998707e+01,4.032037405635020555e+00,3.589738745570183021e+00
3.700000000000000000e+01,8.044296264648437500e+00,2.836246862430778837e+00,1.600487882566451958e+01,4.000609806725035078e+00,3.556000236153602501e+00
3.800000000000000000e+01,7.921281337738037109e+00,2.814477098456840576e+00,1.573442913460731418e+01,3.966664736854794260e+00,3.519501886844635052e+00
3.900000000000000000e+01,7.796810150146484375e+00,2.792276875624350563e+00,1.544504837608337411e+01,3.930018877318959269e+00,3.480033825755119103e+00
4.000000000000000000e+01,7.672311782836914062e+00,2.769893821581779214e+00,1.513557720780372584e+01,3.890446916204322925e+00,3.437331508994102336e+00
4.100000000000000000e+01,7.549553871154785156e+00,2.747645150152178140e+00,1.480491365909576373e+01,3.847715381768220588e+00,3.391114467978477265e+00
4.200000000000000000e+01,7.430487155914306641e+00,2.725891992708864731e+00,1.445229326117038759e+01,3.801617190245539124e+00,3.341129697442054791e+00
4.300000000000000000e+01,7.317389965057373047e+00,2.705067460352398090e+00,1.407737228798866269e+01,3.751982447718627434e+00,3.287162033796310556e+00
