epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,4.030430402671293599e+00,2.007593186547337538e+00,3.059510900826021729e+00,1.749145763172990087e+00,1.142058136752378550e+00
2.000000000000000000e+00,1.125491467852653527e+00,1.060891826649943415e+00,7.727093917757242858e-01,8.790389023107705313e-01,7.229257418596537477e-01
3.000000000000000000e+00,6.292327100144831098e-01,7.932418988016726180e-01,3.790415855965726388e-01,6.156635327811552649e-01,5.027508022345290595e-01
4.000000000000000000e+00,5.393947108371028865e-01,7.344349602497847185e-01,7.107289827805653992e-01,8.430474380368908616e-01,7.475760175061395563e-01
5.000000000000000000e+00,4.566029735813486035e-01,6.757240365573423668e-01,4.734406832161299761e-01,6.880702603776230886e-01,5.503006501542926365e-01
6.000000000000000000e+00,4.634811305215208455e-01,6.807944847907633212e-01,4.276807224349509218e-01,6.539730288283691628e-01,4.397686585616871202e-01
7.000000000000000000e+00,5.103310480380710557e-01,7.143745852408741603e-01,6.652705771478308883e-01,8.156412061365161392e-01,6.191601557590666882e-01
8.000000000000000000e+00,5.165628129829267223e-01,7.187230433087050674e-01,2.803082715966771943e+00,1.674240937250899952e+00,1.574843923736906737e+00
9.000000000000000000e+00,5.201979077542077112e-01,7.212474663762831195e-01,6.277953677950284250e-01,7.923353884530391911e-01,6.208349874017192738e-01
1.000000000000000000e+01,5.248891553314928293e-01,7.244923431834824346e-01,1.481390828872431786e+00,1.217123998971523013e+00,9.735198534956766014e-01
1.100000000000000000e+01,5.013273862761128408e-01,7.080447629042339042e-01,2.608973607618388257e+00,1.615231750436570746e+00,1.439275405093435101e+00
1.200000000000000000e+01,6.040801730805143155e-01,7.772259472511930944e-01,8.055158362597621968e-01,8.975053405187972677e-01,5.166620644346775482e-01
1.300000000000000000e+01,5.904992663270413056e-01,7.684395007591953153e-01,1.765413273851198284e+00,1.328688554120640575e+00,1.006562773240815556e+00
1.400000000000000000e+01,7.003363280088510390e-01,8.368609968261462306e-01,1.438371302763134851e+00,1.199321184155076381e+00,9.059603792690233970e-01
1.500000000000000000e+01,5.943383215675099862e-01,7.709334092951932726e-01,1.128483889178277133e+00,1.062301223372296155e+00,6.052261415971528224e-01
1.600000000000000000e+01,7.875185966252142844e-01,8.874224454143665453e-01,1.393317658116207447e+00,1.180388774140201491e+00,8.406757277936867112e-01
1.700000000000000000e+01,7.363130950173131239e-01,8.580868808094627154e-01,1.539703568673401080e+00,1.240847923265941954e+00,7.584309936420390308e-01
1.800000000000000000e+01,7.926860373992172804e-01,8.903291736201938145e-01,3.426747586505979548e+00,1.851147640385817361e+00,1.508485939889143701e+00
1.900000000000000000e+01,7.946412998231263680e-01,8.914265532409982873e-01,1.917735958439616084e+00,1.384823439446204674e+00,9.004040989307088294e-01
2.000000000000000000e+01,7.536742933070171846e-01,8.681441661999561576e-01,1.009558933955084559e+00,1.004768099590688912e+00,6.468149208512146142e-01
2.100000000000000000e+01,6.805384376186187634e-01,8.249475362825315905e-01,1.367357782875239902e+00,1.169340747120034329e+00,7.598380084309981353e-01
