epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,3.561951849814546378e+00,1.887313394700134594e+00,2.983522472517692314e+00,1.727287605616879329e+00,1.048743852174002678e+00
2.000000000000000000e+00,7.668444653142489909e-01,8.756965600676120953e-01,4.025243811165034602e-01,6.344480917431334355e-01,4.739091446154222176e-01
3.000000000000000000e+00,2.961231767644657009e-01,5.441720102729151742e-01,8.709921683740178278e-01,9.332696118346605063e-01,7.594462455716458615e-01
4.000000000000000000e+00,2.162800528608773420e-01,4.650591928570785294e-01,6.472227100081643369e-01,8.045015289035591932e-01,5.837960791271882277e-01
5.000000000000000000e+00,1.844748882261001699e-01,4.295053995307860917e-01,6.338008487868624918e-01,7.961161025798074720e-01,5.646242071000078244e-01
6.000000000000000000e+00,1.870491256279072090e-01,4.324917636532598642e-01,9.444486961209203058e-01,9.718275032745884445e-01,7.828885866110720793e-01
7.000000000000000000e+00,1.706911392474378120e-01,4.131478418767763894e-01,6.529679412627924506e-01,8.080643175284950575e-01,6.263477398836405641e-01
8.000000000000000000e+00,1.530991840290681916e-01,3.912789082343542391e-01,5.567504302441891317e-01,7.461571082849705050e-01,5.315613072217422186e-01
9.000000000000000000e+00,1.488924698520024126e-01,3.858658702865574996e-01,4.772346243338239646e-01,6.908217022747794589e-01,5.013486883326772059e-01
1.000000000000000000e+01,1.370919362605142189e-01,3.702592824771773761e-01,6.719925315494323925e-01,8.197515059757025657e-01,6.314099565315440810e-01
1.100000000000000000e+01,1.302226725437029553e-01,3.608637866892478452e-01,6.008847355234999688e-01,7.751675531931789820e-01,6.062544902651803014e-01
1.200000000000000000e+01,1.178479891263848750e-01,3.432899490611178162e-01,1.061226325419092564e+00,1.030158398218008253e+00,8.145822781184640649e-01
1.300000000000000000e+01,1.195804328400116717e-01,3.458040382066289165e-01,1.174793465543352289e+00,1.083878898006300551e+00,9.474026392480771053e-01
1.400000000000000000e+01,1.142415547548332189e-01,3.379963827540661825e-01,9.316849494685213173e-01,9.652382863669060065e-01,8.118386151958313368e-01
1.500000000000000000e+01,1.138548549097167101e-01,3.374238505347787465e-01,1.078737852405699860e+00,1.038623055976372944e+00,9.247510243628732640e-01
1.600000000000000000e+01,1.194802750930418350e-01,3.456591892211775541e-01,1.064328678278869678e+00,1.031663064318418588e+00,8.760354337828361038e-01
1.700000000000000000e+01,1.087716859909225037e-01,3.298055275323967250e-01,1.491564957738287234e+00,1.221296425008395525e+00,1.054192951938306422e+00
1.800000000000000000e+01,1.055059792879567415e-01,3.248168396003457414e-01,6.794161331155370576e-01,8.242670277983568106e-01,6.480446953049250336e-01
1.900000000000000000e+01,1.017838032535798715e-01,3.190357397746839685e-01,7.214775245853155550e-01,8.493983309292028050e-01,7.171264165038362393e-01
2.000000000000000000e+01,1.076505791973271231e-01,3.281014769813253018e-01,1.428930357934016682e+00,1.195378750829215964e+00,9.969822638625398525e-01
2.100000000000000000e+01,1.000261642497348169e-01,3.162691326224151278e-01,8.090549721994896304e-01,8.994748313318664534e-01,7.217887874529388403e-01
2.200000000000000000e+01,9.755631714602626403e-02,3.123400665076868643e-01,1.778296863631735558e+00,1.333527976321357666e+00,1.193662861436149747e+00
2.300000000000000000e+01,9.684311103144054023e-02,3.111962580614370810e-01,1.049640327661652384e+00,1.024519559433421545e+00,8.312739581021572066e-01
2.400000000000000000e+01,9.681581168116651370e-02,3.111523930185440823e-01,1.285047728230343189e+00,1.133599456699915242e+00,9.495977610501552535e-01
2.500000000000000000e+01,9.971379473547155314e-02,3.157749115041781907e-01,1.581532617835337495e+00,1.257590003870632467e+00,1.065840344181119059e+00
2.600000000000000000e+01,9.138105341804833581e-02,3.022929926710977155e-01,1.222279268424202314e+00,1.105567396599683727e+00,9.472897876657841998e-01
2.700000000000000000e+01,8.927559786254184171e-02,2.987902238403087884e-01,1.382090820328054415e+00,1.175623587857973495e+00,9.561752748051914885e-01
2.800000000000000000e+01,9.226817768127947017e-02,3.037567738854221600e-01,3.489854338215274687e+00,1.868115183337278884e+00,1.648014275184343624e+00
2.900000000000000000e+01,1.267035335051567291e-01,3.559543980696919796e-01,3.249025251036633311e+00,1.802505270737545739e+00,1.554192326241433886e+00
3.000000000000000000e+01,9.950887868861642283e-02,3.154502792653961496e-01,2.274734866242404063e+00,1.508222419354122934e+00,1.286663174507693297e+00
3.100000000000000000e+01,8.605067221940507216e-02,2.933439486667571705e-01,2.298931896139722486e+00,1.516222904503068847e+00,1.300849143639738470e+00
3.200000000000000000e+01,8.518777876208996624e-02,2.918694550001592058e-01,2.218708364484749840e+00,1.489532935011760539e+00,1.280320569280455345e+00
3.300000000000000000e+01,8.885565932949593404e-02,2.980866641255457417e-01,2.542701275462890376e+00,1.594584985337216265e+00,1.351788445228708779e+00
3.400000000000000000e+01,9.240979249211328517e-02,3.039897901116306866e-01,2.560639943551579645e+00,1.600199969863635330e+00,1.349028589528634914e+00
3.500000000000000000e+01,8.780024317648806031e-02,2.963110581407451538e-01,2.427737955410302906e+00,1.558120006742196750e+00,1.338240750096016729e+00
3.600000000000000000e+01,8.953136728205772499e-02,2.992179260707114041e-01,1.468602339062122120e+00,1.211859042571421297e+00,1.012824798335115295e+00
3.700000000000000000e+01,9.671853919539491473e-02,3.109960436973353559e-01,2.951008338568529066e+00,1.717849917358477807e+00,1.454727214775318744e+00
3.800000000000000000e+01,9.936691599967520383e-02,3.152251830036350566e-01,3.424801206977603041e+00,1.850621843321212712e+00,1.606511539883083817e+00
3.900000000000000000e+01,8.609747898916268738e-02,2.934237192000038186e-01,4.128415547622696025e+00,2.031850276871476790e+00,1.808639846688989028e+00
4.000000000000000000e+01,9.124398326580322738e-02,3.020661902063904170e-01,3.751875515985440224e+00,1.936975868715312687e+00,1.633256677701446558e+00
4.100000000000000000e+01,8.312348956305368186e-02,2.883114454250015890e-01,3.508969385446515599e+00,1.873224328650072712e+00,1.614321652051748712e+00
4.200000000000000000e+01,8.838021708242978225e-02,2.972881045087908958e-01,3.458730414008511111e+00,1.859766225633886272e+00,1.577629351834638483e+00
4.300000000000000000e+01,8.485110151995309269e-02,2.912921240266428957e-01,3.639368603110435085e+00,1.907712924711271851e+00,1.667105334006804274e+00
4.400000000000000000e+01,8.535274246198033821e-02,2.921519167521930416e-01,3.560859697188320183e+00,1.887024031958342674e+00,1.585317418237466525e+00
4.500000000000000000e+01,8.244210297484638739e-02,2.871273288540232005e-01,3.718464542237261306e+00,1.928332062233385491e+00,1.689751074097815220e+00
4.600000000000000000e+01,7.709238914030336343e-02,2.776551622792260976e-01,3.140325940226439183e+00,1.772096481635929255e+00,1.527347611117192860e+00
4.700000000000000000e+01,8.050684754392124776e-02,2.837372861361742715e-01,2.743549012505923201e+00,1.656366207245826283e+00,1.358278041707387862e+00
4.800000000000000000e+01,8.598347166185850432e-02,2.932293840355337244e-01,2.081413544160024554e+00,1.442710485218716476e+00,1.214941803468476689e+00
4.900000000000000000e+01,9.821831691458997315e-02,3.133980167687567819e-01,2.571151148896212657e+00,1.603480947469040796e+00,1.365943308634860021e+00
5.000000000000000000e+01,8.427343519319843712e-02,2.902988721872657440e-01,3.566901859765631233e+00,1.888624329972912186e+00,1.626841062191915599e+00
5.100000000000000000e+01,7.498625728318782102e-02,2.738361869497671353e-01,2.272825960962293390e+00,1.507589453718184203e+00,1.252812892046665016e+00
5.200000000000000000e+01,7.973277686817416277e-02,2.823699291145821966e-01,2.964162458581176107e+00,1.721674318383467073e+00,1.479066378722740049e+00
5.300000000000000000e+01,8.706693389448080800e-02,2.950710658375043094e-01,2.332534656855187460e+00,1.527263781032990764e+00,1.347127703230193818e+00
5.400000000000000000e+01,8.122976525918049195e-02,2.850083599812126556e-01,2.688927725792903178e+00,1.639795025542187368e+00,1.396238996834322288e+00
5.500000000000000000e+01,8.207625357110845399e-02,2.864895348369787542e-01,2.681394757602314272e+00,1.637496490867175636e+00,1.385007730439290041e+00
5.600000000000000000e+01,8.218730868398768652e-02,2.866832898583168143e-01,3.139773345990040099e+00,1.771940559383987868e+00,1.517743715330973631e+00
5.700000000000000000e+01,7.922378106052568869e-02,2.814671935777341982e-01,3.466228405391525769e+00,1.861780976750897487e+00,1.602867359050552443e+00
5.800000000000000000e+01,8.286598304188810826e-02,2.878645220270954486e-01,3.705425939064142415e+00,1.924948295166429180e+00,1.690565932173733854e+00
5.900000000000000000e+01,7.688318438691368883e-02,2.772781714937432307e-01,4.200328457975241569e+00,2.049470287165744864e+00,1.780837418228600422e+00
6.000000000000000000e+01,7.548865606305109333e-02,2.747519900984360386e-01,4.086366290832271098e+00,2.021476265216159085e+00,1.740712142501037674e+00
6.100000000000000000e+01,7.631825517673074266e-02,2.762575884509432811e-01,2.878473224989865020e+00,1.696606384813479584e+00,1.409885624497673184e+00
6.200000000000000000e+01,7.977302576265751788e-02,2.824411899186404229e-01,2.769087752557068072e+00,1.664057616958339647e+00,1.425625829278632795e+00
6.300000000000000000e+01,7.624981755049675680e-02,2.761336950654460498e-01,3.891622834006337683e+00,1.972719654184633020e+00,1.718952350538683449e+00
6.400000000000000000e+01,8.495609608989539152e-02,2.914722904323761021e-01,2.416271754118037851e+00,1.554436153117276787e+00,1.266177051779448615e+00
6.500000000000000000e+01,9.093379941426218971e-02,3.015523162143878833e-01,2.265232610896943832e+00,1.505068972139464334e+00,1.233464985690957860e+00
