epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,8.091381951212074597e+00,2.844535454377757233e+00,1.422997985241002361e+01,3.772264552282888594e+00,3.248617125578247222e+00
2.000000000000000000e+00,5.393981674094201040e+00,2.322494709163876792e+00,3.056239088254844916e+00,1.748210252874305981e+00,1.189146381877856484e+00
3.000000000000000000e+00,4.259565336265266566e+00,2.063871443735114664e+00,1.694084199075183594e+00,1.301569897883007920e+00,1.079152091198375851e+00
4.000000000000000000e+00,4.090899338586879708e+00,2.022597176549715048e+00,1.672735463831645841e+00,1.293342748010613663e+00,1.099504372760061077e+00
5.000000000000000000e+00,3.545273498984564231e+00,1.882889667236124609e+00,1.954237908398339441e+00,1.397940595446866441e+00,1.217343014071597729e+00
6.000000000000000000e+00,3.474817882138740543e+00,1.864086339775800294e+00,1.927784074215592502e+00,1.388446640752028616e+00,1.208704436955466477e+00
7.000000000000000000e+00,3.063058262043818480e+00,1.750159496172796869e+00,6.379107455108751878e+00,2.525689500930142550e+00,2.188200297098033431e+00
8.000000000000000000e+00,2.918971482577320309e+00,1.708499775410380339e+00,4.600741664811619280e+00,2.144933953484726707e+00,1.786567287342993193e+00
9.000000000000000000e+00,2.725433051122010397e+00,1.650888564113886625e+00,4.810226341513926585e+00,2.193222820762616099e+00,1.975967545514199175e+00
1.000000000000000000e+01,2.458184323697735874e+00,1.567859790828802335e+00,5.540743949824030956e+00,2.353878490879261598e+00,2.092519515394313689e+00
1.100000000000000000e+01,2.353041373434692218e+00,1.533962637561518960e+00,7.255128769091996332e+00,2.693534623703953024e+00,2.361356410290001762e+00
1.200000000000000000e+01,2.227618668253653400e+00,1.492520910491257791e+00,8.357477267340174265e+00,2.890930173376758283e+00,2.539067266427291969e+00
1.300000000000000000e+01,2.444887382215783944e+00,1.563613565500051594e+00,5.861822646449222241e+00,2.421120122267629515e+00,2.123065052897679994e+00
1.400000000000000000e+01,2.142703940119164763e+00,1.463797779790352305e+00,5.342630520022486174e+00,2.311413100253281616e+00,2.021315157595759970e+00
1.500000000000000000e+01,1.932375248997872053e+00,1.390099006904857770e+00,7.684894756682664863e+00,2.772164273033375981e+00,2.458389414195256251e+00
1.600000000000000000e+01,1.943811597491113208e+00,1.394206440055099305e+00,1.187314874899861294e+01,3.445743569826201114e+00,2.963015836070193920e+00
1.700000000000000000e+01,2.044875733608637614e+00,1.429991515222603482e+00,9.238235809022862455e+00,3.039446628750513746e+00,2.672153290866225550e+00
1.800000000000000000e+01,1.836965963996795237e+00,1.355347174710891167e+00,6.951982396093712602e+00,2.636661221335367511e+00,2.315846965947282232e+00
1.900000000000000000e+01,1.653985450507947208e+00,1.286073656719531444e+00,9.709718964758511817e+00,3.116042195599814324e+00,2.713514902783703775e+00
2.000000000000000000e+01,1.595348742642435091e+00,1.263071155019555913e+00,9.034956826104057370e+00,3.005820491330787547e+00,2.647955961791260915e+00
2.100000000000000000e+01,1.730432136967325230e+00,1.315458907365534280e+00,7.224374558218393361e+00,2.687819666238491223e+00,2.364797532376163858e+00
2.200000000000000000e+01,1.418270296350971238e+00,1.190911540103198218e+00,8.482041200002035097e+00,2.912394410103486653e+00,2.577322677734795064e+00
2.300000000000000000e+01,1.510772116128537679e+00,1.229134702190340711e+00,7.191224497757191081e+00,2.681645856140812523e+00,2.366413932813903109e+00
2.400000000000000000e+01,1.230781854441704404e+00,1.109406081848168135e+00,6.261116601883697008e+00,2.502222332624280732e+00,2.231322024089723577e+00
2.500000000000000000e+01,1.220629648762832087e+00,1.104821093554441580e+00,5.730224264992608063e+00,2.393788684281176860e+00,2.124564024408050589e+00
2.600000000000000000e+01,1.255836723198755278e+00,1.120641210735512372e+00,6.884064960674165512e+00,2.623750171162293920e+00,2.333619162820044224e+00
2.700000000000000000e+01,1.254420672056513864e+00,1.120009228558637382e+00,7.580955182618929200e+00,2.753353443097875886e+00,2.446791822635677960e+00
2.800000000000000000e+01,1.187745134964027560e+00,1.089837205716536195e+00,7.295859280468612873e+00,2.701084834000704316e+00,2.401998691481066484e+00
2.900000000000000000e+01,1.051784546882535532e+00,1.025565476643268914e+00,8.055117861818708036e+00,2.838153953156647979e+00,2.525466061999430689e+00
3.000000000000000000e+01,1.035958775561288903e+00,1.017820600872908710e+00,9.633719825355770539e+00,3.103823420453517112e+00,2.729079679854662377e+00
3.100000000000000000e+01,1.066950539732901770e+00,1.032932979303546883e+00,6.715973447222228110e+00,2.591519524761916049e+00,2.247243282384220997e+00
3.200000000000000000e+01,1.044273420378539541e+00,1.021896971508644558e+00,1.047853598755069449e+01,3.237056685872321093e+00,2.859421179078283970e+00
3.300000000000000000e+01,1.030761520397240893e+00,1.015264261361169318e+00,6.171371280600171261e+00,2.484224482731013595e+00,2.165046343380522487e+00
3.400000000000000000e+01,1.031204879718101042e+00,1.015482584645399644e+00,1.163628053665161133e+01,3.411199281286804386e+00,3.002739447701597175e+00
3.500000000000000000e+01,9.985639404199495583e-01,9.992817122413226727e-01,9.118086225760457353e+00,3.019616900495898371e+00,2.681833941880594541e+00
