epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,7.320493336150287078e+00,2.705641021301659510e+00,8.276632067867982556e+00,2.876913635802782032e+00,2.219802637469634909e+00
2.000000000000000000e+00,4.317865710556731962e+00,2.077947475408541855e+00,1.869411304456378264e+00,1.367264167765826599e+00,1.067211352843149497e+00
3.000000000000000000e+00,3.767671421226380879e+00,1.941049051731145836e+00,1.115149331505996155e+00,1.056006312247230960e+00,8.439876880120793512e-01
4.000000000000000000e+00,3.352594279937485489e+00,1.831009087890468567e+00,2.112033334468604195e+00,1.453283638684687018e+00,1.217143504505371343e+00
5.000000000000000000e+00,3.159867364597871653e+00,1.777601576450097420e+00,4.587284194098578460e+00,2.141794619962095858e+00,1.848139901652127159e+00
6.000000000000000000e+00,3.055639662415620350e+00,1.748038804608072816e+00,5.744629167270952408e+00,2.396795603982732725e+00,2.019663417254262239e+00
7.000000000000000000e+00,2.964681949665785243e+00,1.721825179762970448e+00,3.753626347074207281e+00,1.937427765640362454e+00,1.672938147086980409e+00
8.000000000000000000e+00,2.881349960843153202e+00,1.697453964278016425e+00,3.954809411463994895e+00,1.988670262125924904e+00,1.625621236184807472e+00
9.000000000000000000e+00,2.757539539892929437e+00,1.660584096001442855e+00,4.986145310202626746e+00,2.232967825608471735e+00,1.902716442471736658e+00
1.000000000000000000e+01,2.765416580359260745e+00,1.662954172657581386e+00,3.519927795266278636e+00,1.876147061204499034e+00,1.454755426303812937e+00
1.100000000000000000e+01,2.743516780838418878e+00,1.656356477585190223e+00,9.366769773636875129e+00,3.060517893043083415e+00,2.678963560576832492e+00
1.200000000000000000e+01,2.529604623797430563e+00,1.590473081758201346e+00,5.157636004728886725e+00,2.271042933264117547e+00,1.837291479839826547e+00
1.300000000000000000e+01,2.450815881864714996e+00,1.565508186457265083e+00,5.640861567614883221e+00,2.375049803186215946e+00,1.982599583848414726e+00
1.400000000000000000e+01,2.524397782361917475e+00,1.588835354076034267e+00,7.777797836047064983e+00,2.788870351243862622e+00,2.139261878107908910e+00
1.500000000000000000e+01,2.425449299830283678e+00,1.557385405039575899e+00,1.001448829701430476e+01,3.164567631922930779e+00,2.710926766789287790e+00
1.600000000000000000e+01,2.470017624646986487e+00,1.571628971687333953e+00,4.322752013483543543e+00,2.079122895233358470e+00,1.631326263225528095e+00
1.700000000000000000e+01,2.257848165976105825e+00,1.502613778046809179e+00,5.931100638270013548e+00,2.435385110874666914e+00,1.880366358188314102e+00
1.800000000000000000e+01,2.184084489398852025e+00,1.477864841383965011e+00,4.938407317578610289e+00,2.222252757356509623e+00,1.855196163438025181e+00
1.900000000000000000e+01,2.364038517414640328e+00,1.537543013191709163e+00,7.221434066298054510e+00,2.687272607365701393e+00,2.135299634739042496e+00
2.000000000000000000e+01,2.271851545675589445e+00,1.507266249099869393e+00,1.183242192885683686e+01,3.439828764467329769e+00,2.944684319539901285e+00
2.100000000000000000e+01,2.179003836311487863e+00,1.476144923885011950e+00,5.381254189361976970e+00,2.319753044908439588e+00,1.907746183033747878e+00
2.200000000000000000e+01,2.098822036420720849e+00,1.448731181558787551e+00,8.583391800568373142e+00,2.929742616778541198e+00,2.587771625207712312e+00
2.300000000000000000e+01,1.995283107097590269e+00,1.412544904453515215e+00,6.830247735150849486e+00,2.613474265255131712e+00,2.064425897403837418e+00
2.400000000000000000e+01,2.219718022431539151e+00,1.489871814093930436e+00,1.041142726552109643e+01,3.226674335212820210e+00,2.527064205917257222e+00
2.500000000000000000e+01,1.954749521404257839e+00,1.398123571578799185e+00,7.789136602730318160e+00,2.790902471017272735e+00,2.065474077952868193e+00
2.600000000000000000e+01,1.916404115767432303e+00,1.384342484996914369e+00,5.591094095286487153e+00,2.364549448687104150e+00,1.838541819779515585e+00
2.700000000000000000e+01,1.821905741213075247e+00,1.349779886208516411e+00,8.782222263674487550e+00,2.963481443112895075e+00,2.273362881060648100e+00
2.800000000000000000e+01,1.782297946046687009e+00,1.335027320337185852e+00,6.763147327878059833e+00,2.600605184928704183e+00,2.248122174683939267e+00
2.900000000000000000e+01,1.788562545342770038e+00,1.337371506105453856e+00,6.560198012963469161e+00,2.561288350218200005e+00,1.974180483064641667e+00
3.000000000000000000e+01,2.088110387639704690e+00,1.445029545594035403e+00,6.222784199359828072e+00,2.494550901336717086e+00,1.922916505436406354e+00
3.100000000000000000e+01,2.190422492720798697e+00,1.480007598872653984e+00,3.131138190095456242e+00,1.769502243597180779e+00,1.455016700742684632e+00
3.200000000000000000e+01,1.834136058205607211e+00,1.354302794136380328e+00,4.425100153982335804e+00,2.103592202396256994e+00,1.710931024055597716e+00
3.300000000000000000e+01,1.760479980843416392e+00,1.326830803397108571e+00,4.837189255382915221e+00,2.199361101634498716e+00,1.796150606585083631e+00
3.400000000000000000e+01,1.772933249586163384e+00,1.331515395925320533e+00,3.931002495850262513e+00,1.982675590168563762e+00,1.650899935449178235e+00
3.500000000000000000e+01,1.610356342250514494e+00,1.268998164793989858e+00,8.942879400972683968e+00,2.990464746652714556e+00,2.252165084220582703e+00
3.600000000000000000e+01,1.747459756522524721e+00,1.321915185071464771e+00,7.972930285058133393e+00,2.823637775115309001e+00,2.502338053861767886e+00
3.700000000000000000e+01,1.577747654028496926e+00,1.256084254350995799e+00,7.266789366345887125e+00,2.695698307738810584e+00,2.102180898493339889e+00
3.800000000000000000e+01,1.538999971628368657e+00,1.240564376253150636e+00,8.581136798275355915e+00,2.929357745014315562e+00,2.238620590118579390e+00
3.900000000000000000e+01,1.569851184484198692e+00,1.252937023351213153e+00,5.860941712887887789e+00,2.420938188572332894e+00,1.968150760055682014e+00
4.000000000000000000e+01,1.489850686965531246e+00,1.220594399039062861e+00,6.035133495972425877e+00,2.456650869776253909e+00,2.077692427280359855e+00
4.100000000000000000e+01,1.544038739643992963e+00,1.242593553678753349e+00,5.776627049655116863e+00,2.403461472471551286e+00,2.058586987272801316e+00
4.200000000000000000e+01,2.531314530584626965e+00,1.591010537546696080e+00,4.165785098780672158e+00,2.041025501746774218e+00,1.752362204618774788e+00
4.300000000000000000e+01,2.003448593619479912e+00,1.415432299200311439e+00,4.850426985461655960e+00,2.202368494476266481e+00,1.747997700499710483e+00
4.400000000000000000e+01,1.711240939685550355e+00,1.308144082158211763e+00,4.829932534609609363e+00,2.197710748622213384e+00,1.655250025208693909e+00
4.500000000000000000e+01,1.594572780779694998e+00,1.262763944995142440e+00,5.813924927473311577e+00,2.411208188330761004e+00,1.908311288048124998e+00
4.600000000000000000e+01,1.555605851205501544e+00,1.247239291878467604e+00,7.262530243238785488e+00,2.694908206829833119e+00,1.926094160410485312e+00
4.700000000000000000e+01,1.633409474309860387e+00,1.278049089162799135e+00,4.982192648052561346e+00,2.232082580921360471e+00,1.799563971499055226e+00
4.800000000000000000e+01,1.633232186005900699e+00,1.277979728323536790e+00,7.447093953415524048e+00,2.728936414322533199e+00,2.064526855155719431e+00
4.900000000000000000e+01,1.479376890182614979e+00,1.216296382541120158e+00,6.017891322436318191e+00,2.453139075233265132e+00,2.028069218364330517e+00
5.000000000000000000e+01,1.363872837672967853e+00,1.167849663986323172e+00,6.258042009355581747e+00,2.501607884812402371e+00,2.200000477128801535e+00
5.100000000000000000e+01,1.447953093234572108e+00,1.203309225940935034e+00,4.636391361189909688e+00,2.153228125673150917e+00,1.735681136692214244e+00
5.200000000000000000e+01,1.423212908404881460e+00,1.192984873502125120e+00,6.653300819533073174e+00,2.579399313703303331e+00,1.900526454567787793e+00
5.300000000000000000e+01,1.352292995661295016e+00,1.162881333439184095e+00,7.668593055732874753e+00,2.769222464110255189e+00,2.398701650043996825e+00
5.400000000000000000e+01,1.462941547025241151e+00,1.209521205694733315e+00,9.461301415702983775e+00,3.075922855941446432e+00,2.685320297876993667e+00
5.500000000000000000e+01,1.373228583435292416e+00,1.171848361962968488e+00,5.670541150368195282e+00,2.381289808143518538e+00,2.024091942230131114e+00
5.600000000000000000e+01,1.239817513110379466e+00,1.113470930518789759e+00,6.891024647381206236e+00,2.625076122206974283e+00,1.963427541452810399e+00
5.700000000000000000e+01,1.213677838381077567e+00,1.101670476313619584e+00,6.888986660678330765e+00,2.624687916815698241e+00,1.957682732534457237e+00
5.800000000000000000e+01,1.337341999235059697e+00,1.156435038917041691e+00,4.154424069003106013e+00,2.038240434542280877e+00,1.585962805179280899e+00
5.900000000000000000e+01,1.651276476866514464e+00,1.285020029753044080e+00,6.036220702677812966e+00,2.456872138040116393e+00,1.826173396893111534e+00
6.000000000000000000e+01,1.601456987741034732e+00,1.265486857988274316e+00,5.592593822518133528e+00,2.364866554907091079e+00,1.856599325798337974e+00
6.100000000000000000e+01,1.318334693571515670e+00,1.148187568984926576e+00,5.318011646970696837e+00,2.306081448468526585e+00,1.766643848380303750e+00
6.200000000000000000e+01,1.422777598301270263e+00,1.192802413772402703e+00,3.425423756773440243e+00,1.850790035842380554e+00,1.493956602798446331e+00
6.300000000000000000e+01,1.217284411753400741e+00,1.103306127850924634e+00,4.582711106532697087e+00,2.140726770639517440e+00,1.792732008857221615e+00
6.400000000000000000e+01,1.256022959857752364e+00,1.120724301448733806e+00,4.146889398829531004e+00,2.036391268599806903e+00,1.680351695032537673e+00
6.500000000000000000e+01,1.175353288830180087e+00,1.084137117172076170e+00,4.145508569801012122e+00,2.036052202130635980e+00,1.751009083669120114e+00
6.600000000000000000e+01,1.273050848711857475e+00,1.128295550249072576e+00,4.844717311081415012e+00,2.201071855047311843e+00,1.699608404580484677e+00
6.700000000000000000e+01,1.183733579457270313e+00,1.087995211137103402e+00,4.848333029207468670e+00,2.201893055806178001e+00,1.860060042197551278e+00
6.800000000000000000e+01,1.208866098019322655e+00,1.099484469203327430e+00,3.221293595709688873e+00,1.794796254651120249e+00,1.502027108156474444e+00
6.900000000000000000e+01,1.299008815612244350e+00,1.139740679107420718e+00,4.524837539587302615e+00,2.127166551915317783e+00,1.746226073769618914e+00
7.000000000000000000e+01,1.102186641690719560e+00,1.049850771153081341e+00,5.805724524576729273e+00,2.409507112373136195e+00,2.073777316907130075e+00
7.100000000000000000e+01,1.209707861373664706e+00,1.099867201699216368e+00,3.547868101118050621e+00,1.883578535957035838e+00,1.526281234078207927e+00
7.200000000000000000e+01,1.089916277907955422e+00,1.043990554510889845e+00,4.940070773969488904e+00,2.222626998389403585e+00,1.895932692878715464e+00
7.300000000000000000e+01,1.096022772402716727e+00,1.046911062317481100e+00,6.998810478185173878e+00,2.645526503020745324e+00,1.963280422485810472e+00
7.400000000000000000e+01,1.087461764984351209e+00,1.042814348282737891e+00,4.373295240081414015e+00,2.091242511064035803e+00,1.644255393142000310e+00
