epoch,train_mse,train_rmse,test_mse,test_rmse,test_mae
1.000000000000000000e+00,7.198528357349847084e+00,2.683007334568775715e+00,6.865834468487691744e+00,2.620273739227962917e+00,2.004518668099888323e+00
2.000000000000000000e+00,4.091324963631925549e+00,2.022702391265686295e+00,3.429333611973442775e+00,1.851846001149513254e+00,1.432107704859625574e+00
3.000000000000000000e+00,3.436590321786856972e+00,1.853804283571180322e+00,1.525712828388272380e+00,1.235197485582071764e+00,9.809734883293828034e-01
4.000000000000000000e+00,3.185317979269786992e+00,1.784745914484688445e+00,2.940013019073750566e+00,1.714646616383023181e+00,1.429420850935575249e+00
5.000000000000000000e+00,3.058554406083429544e+00,1.748872324123013078e+00,4.635788609371515712e+00,2.153088156432874989e+00,1.832673812617341857e+00
6.000000000000000000e+00,2.983847432806095767e+00,1.727381669697260591e+00,5.011280253271322316e+00,2.238588897781663256e+00,1.957735275031351252e+00
7.000000000000000000e+00,3.020925463518584930e+00,1.738080971508112693e+00,5.713558392422643628e+00,2.390305083545329445e+00,2.015631198883056641e+00
8.000000000000000000e+00,2.978306592364192706e+00,1.725777098110933050e+00,4.554441237668378939e+00,2.134113689021365001e+00,1.751561859696647794e+00
9.000000000000000000e+00,2.946995091300548264e+00,1.716681418114773150e+00,7.811207342585292146e+00,2.794853724720721910e+00,2.322817960645809698e+00
1.000000000000000000e+01,2.824972100067426162e+00,1.680765331647290362e+00,8.658357831194738452e+00,2.942508764845864988e+00,2.523748229403014687e+00
1.100000000000000000e+01,2.908876673715913075e+00,1.705542926377378921e+00,8.058889978644073082e+00,2.838818412411063807e+00,2.385050006841179293e+00
1.200000000000000000e+01,2.822902281210668551e+00,1.680149481805315093e+00,9.562169128966258924e+00,3.092275720075145173e+00,2.563330879026718190e+00
1.300000000000000000e+01,2.729122343928153338e+00,1.652005552027036472e+00,6.930439225273637760e+00,2.632572738838119708e+00,2.263375862172133601e+00
1.400000000000000000e+01,2.779482084253690033e+00,1.667177880207654894e+00,9.814123922653276821e+00,3.132750217086142985e+00,2.572980260630266525e+00
1.500000000000000000e+01,2.726781934267670238e+00,1.651297046042192296e+00,9.504731765945388489e+00,3.082974499723504014e+00,2.559653751225524854e+00
1.600000000000000000e+01,2.689428011995558254e+00,1.639947563794512897e+00,9.050712170343272689e+00,3.008440155685878636e+00,2.426303790979064789e+00
1.700000000000000000e+01,2.645100911937446231e+00,1.626376620570231246e+00,8.153501111676083823e+00,2.855433611848835262e+00,2.276104352525250452e+00
1.800000000000000000e+01,2.672276893263334951e+00,1.634710033389204842e+00,9.306630225964156011e+00,3.050677011085269896e+00,2.553674232218486662e+00
1.900000000000000000e+01,2.602141005823403130e+00,1.613115310764671628e+00,9.250437874798867810e+00,3.041453250470713243e+00,2.572203551835848589e+00
2.000000000000000000e+01,2.449315178127811077e+00,1.565028810638261492e+00,8.511538181343818010e+00,2.917454058137646022e+00,2.521997695061530820e+00
2.100000000000000000e+01,2.480340864933246792e+00,1.574909795808397073e+00,6.452175369321023979e+00,2.540113259152241731e+00,2.228898727079657860e+00
2.200000000000000000e+01,2.413171875060607707e+00,1.553438725879011884e+00,7.292524678991474829e+00,2.700467492674458292e+00,2.284172721047649457e+00
2.300000000000000000e+01,2.382210216160486560e+00,1.543441030995511110e+00,7.258016964589661946e+00,2.694070705194958837e+00,2.299314399681810617e+00
2.400000000000000000e+01,2.354758726355718590e+00,1.534522312107490460e+00,9.080791504011241244e+00,3.013435166717751024e+00,2.583341544313654481e+00
2.500000000000000000e+01,2.403373207347652141e+00,1.550281654199536785e+00,6.512965824990462060e+00,2.552051297484136061e+00,2.271488911514982334e+00
2.600000000000000000e+01,2.396815854920361311e+00,1.548165318989015882e+00,4.250347935096203678e+00,2.061637197737808513e+00,1.789235802600872338e+00
2.700000000000000000e+01,2.278470746179047435e+00,1.509460415572083658e+00,3.753565360039138543e+00,1.937412026399944365e+00,1.744013624332245271e+00
2.800000000000000000e+01,2.179337285925053713e+00,1.476257865660689284e+00,5.248623287519791347e+00,2.290987404487373258e+00,2.063345107342003715e+00
